,url,repo,author,license,watch_count,languages
0,https://github.com/01miru/HomeSense,HomeSense,01miru,mit,3,"['Swift', 'Other']"
1,https://github.com/01org/yask,yask,01org,mit,6,"['C++', 'Perl', 'Makefile', 'Python', 'Other']"
2,https://github.com/06wj/FL,FL,06wj,mit,3,"['JavaScript', 'Python']"
4,https://github.com/0of/Promise2,Promise2,0of,mit,4,"['C++', 'CMake', 'Other']"
5,https://github.com/0racle/p6-wig,p6-wig,0racle,artistic-2.0,3,['Other']
6,https://github.com/0rax/slack-flip-bot,slack-flip-bot,0rax,mit,4,['Go']
7,https://github.com/0x00A/cpp-eventemitter,cpp-eventemitter,0x00A,mit,8,['C++']
8,https://github.com/0x00A/nodeuv-http,nodeuv-http,0x00A,mit,9,"['C++', 'Python', 'Makefile', 'Batchfile']"
9,https://github.com/0x09/dspfun,dspfun,0x09,mit,7,"['C', 'Makefile']"
